conference,division,club,abbr,city,stadium,capacity,lat,lon,first_season,head_coach,logo_address
American Football Conference,East,Buffalo Bills,BUF,"Orchard Park, New York",Bills Stadium,71608,42.774,-78.787,"1960 (AFL), 1970 (NFL)",Sean McDermott,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/200px-Buffalo_Bills_logo.svg.png
American Football Conference,East,Miami Dolphins,MIA,"Miami Gardens, Florida",Hard Rock Stadium,64767,25.958,-80.239,"1966 (AFL), 1970 (NFL)",Brian Flores,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/200px-Miami_Dolphins_logo.svg.png
American Football Conference,East,New England Patriots,NE,"Foxborough, Massachusetts",Gillette Stadium,65878,42.091,-71.264,"1960 (AFL), 1970 (NFL)",Bill Belichick,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/200px-New_England_Patriots_logo.svg.png
American Football Conference,East,New York Jets,NYJ,"East Rutherford, New Jersey",MetLife Stadium,82500,40.814,-74.074,"1960 (AFL), 1970 (NFL)",Adam Gase,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/200px-New_York_Jets_logo.svg.png
American Football Conference,North,Baltimore Ravens,BAL,"Baltimore, Maryland",M&T Bank Stadium,71008,39.278,-76.623,1996,John Harbaugh,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/200px-Baltimore_Ravens_logo.svg.png
American Football Conference,North,Cincinnati Bengals,CIN,"Cincinnati, Ohio",Paul Brown Stadium,65515,39.095,-84.516,"1968 (AFL), 1970 (NFL)",Zac Taylor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/200px-Cincinnati_Bengals_logo.svg.png
American Football Conference,North,Cleveland Browns,CLE,"Cleveland, Ohio",FirstEnergy Stadium,67895,41.506,-81.699,"1946 (AAFC), 1950 (NFL)",Kevin Stefanski,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/200px-Cleveland_Browns_logo.svg.png
American Football Conference,North,Pittsburgh Steelers,PIT,"Pittsburgh, Pennsylvania",Heinz Field,68400,40.447,-80.016,1933,Mike Tomlin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/200px-Pittsburgh_Steelers_logo.svg.png
American Football Conference,South,Houston Texans,HOU,"Houston, Texas",NRG Stadium,71995,29.685,-95.411,2002,Bill O'Brien,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/200px-Houston_Texans_logo.svg.png
American Football Conference,South,Indianapolis Colts,IND,"Indianapolis, Indiana",Lucas Oil Stadium,67000,39.76,-86.164,1953,Frank Reich,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/200px-Indianapolis_Colts_logo.svg.png
